"profile_id","dataset_id","country_id","latitude","longitude","cfao_version","cfao_major_group","cwrb_version","cwrb_reference_soil_group","cstx_version","cstx_order_name","translated"
211391,{MX-INEGI},MX,27.46038520,-104.93820140,1974,Xerosols,,,,,true
211400,{MX-INEGI},MX,27.41239149,-105.01110336,1974,Xerosols,,,,,true
211405,{MX-INEGI},MX,27.35773145,-104.22301764,1974,Xerosols,,,,,true
211408,{MX-INEGI},MX,27.35322352,-104.55196891,1974,Xerosols,,,,,true
211424,{MX-INEGI},MX,27.11780871,-105.22603524,1974,Xerosols,,,,,true
211426,{MX-INEGI},MX,27.07900930,-104.97734431,1974,Xerosols,,,,,true
211435,{MX-INEGI},MX,27.00268226,-105.62729406,1974,Xerosols,,,,,true
211441,{MX-INEGI},MX,26.96006535,-104.06918391,1974,Xerosols,,,,,true
211666,{MX-INEGI},MX,26.77588314,-105.21524587,1974,Xerosols,,,,,true
211675,{MX-INEGI},MX,26.68385278,-104.17841279,1974,Yermosols,,,,,true
211701,{MX-INEGI},MX,26.45462336,-104.00327198,1974,Yermosols,,,,,true
211705,{MX-INEGI},MX,26.40150581,-104.23214017,1974,Xerosols,,,,,true
211769,{MX-INEGI},MX,26.65626211,-103.91692196,1974,Xerosols,,,,,true
211878,{MX-INEGI},MX,25.51573245,-107.75913046,1974,Xerosols,,,,,true
211902,{MX-INEGI},MX,25.35188320,-106.33595702,1974,Rankers,,,,,true
211946,{MX-INEGI},MX,25.86837181,-105.82736139,1974,Xerosols,,,,,true
211970,{MX-INEGI},MX,25.67086397,-103.98213022,1974,Xerosols,,,,,true
211971,{MX-INEGI},MX,25.65921765,-104.90172470,1974,Xerosols,,,,,true
211988,{MX-INEGI},MX,25.43423046,-104.19092760,1974,Xerosols,,,,,true
211993,{MX-INEGI},MX,25.37015873,-104.17059298,1974,Xerosols,,,,,true
212003,{MX-INEGI},MX,25.26332544,-104.06206697,1974,Xerosols,,,,,true
212007,{MX-INEGI},MX,25.18589536,-104.05799316,1974,Xerosols,,,,,true
212040,{MX-INEGI},MX,25.90847516,-102.16717745,1974,Xerosols,,,,,true
212070,{MX-INEGI},MX,25.63623624,-102.91984719,1974,Xerosols,,,,,true
212225,{MX-INEGI},MX,24.89063996,-104.17599366,1974,Xerosols,,,,,true
212260,{MX-INEGI},MX,24.46882973,-104.42208392,1974,Xerosols,,,,,true
212285,{MX-INEGI},MX,24.26273646,-105.47600366,1974,Rankers,,,,,true
212397,{MX-INEGI},MX,24.15368095,-103.62656829,1974,Yermosols,,,,,true
212416,{MX-INEGI},MX,27.91319356,-101.20978994,1974,Xerosols,,,,,true
212438,{MX-INEGI},MX,27.66863648,-101.24482910,1974,Xerosols,,,,,true
212442,{MX-INEGI},MX,27.66297871,-101.83905852,1974,Xerosols,,,,,true
212465,{MX-INEGI},MX,27.43481525,-101.59651755,1974,Xerosols,,,,,true
212474,{MX-INEGI},MX,27.33180594,-101.65569770,1974,Yermosols,,,,,true
212480,{MX-INEGI},MX,27.26604133,-101.64327274,1974,Yermosols,,,,,true
212483,{MX-INEGI},MX,27.24595495,-100.26136215,1974,Xerosols,,,,,true
212487,{MX-INEGI},MX,27.21196021,-101.76645461,1974,Xerosols,,,,,true
212493,{MX-INEGI},MX,27.14237716,-100.15161900,1974,Xerosols,,,,,true
212511,{MX-INEGI},MX,26.96061455,-100.60270736,1974,Xerosols,,,,,true
212512,{MX-INEGI},MX,27.83725408,-99.94615848,1974,Xerosols,,,,,true
212515,{MX-INEGI},MX,27.74762250,-100.02732483,1974,Yermosols,,,,,true
212517,{MX-INEGI},MX,27.65667115,-99.80113261,1974,Yermosols,,,,,true
212522,{MX-INEGI},MX,27.52002726,-99.92212001,1974,Xerosols,,,,,true
212526,{MX-INEGI},MX,27.43984501,-99.63014380,1974,Xerosols,,,,,true
212527,{MX-INEGI},MX,27.43998501,-99.68313549,1974,Xerosols,,,,,true
212538,{MX-INEGI},MX,27.14553947,-99.86532625,1974,Xerosols,,,,,true
212546,{MX-INEGI},MX,26.93157498,-100.52197795,1974,Xerosols,,,,,true
212551,{MX-INEGI},MX,26.90814937,-100.64354648,1974,Xerosols,,,,,true
212597,{MX-INEGI},MX,26.44053761,-100.05826039,1974,Xerosols,,,,,true
212615,{MX-INEGI},MX,26.27733557,-101.52911504,1974,Xerosols,,,,,true
212616,{MX-INEGI},MX,26.27818680,-100.72102285,1974,Xerosols,,,,,true
212630,{MX-INEGI},MX,26.13661199,-101.76302331,1974,Yermosols,,,,,true
212650,{MX-INEGI},MX,26.81631176,-100.02043561,1974,Xerosols,,,,,true
212654,{MX-INEGI},MX,26.75075705,-99.68321112,1974,Xerosols,,,,,true
212664,{MX-INEGI},MX,26.60132727,-99.35989252,1974,Yermosols,,,,,true
212668,{MX-INEGI},MX,26.53463107,-99.95914773,1974,Xerosols,,,,,true
212674,{MX-INEGI},MX,26.44818106,-99.41015236,1974,Yermosols,,,,,true
212675,{MX-INEGI},MX,26.44236321,-99.21604613,1974,Xerosols,,,,,true
212678,{MX-INEGI},MX,26.38617218,-99.20789412,1974,Xerosols,,,,,true
212681,{MX-INEGI},MX,26.33491497,-99.37694062,1974,Xerosols,,,,,true
